"id","regiao","media_declividade","praca_ou_parque","unidades_iluminacao","atividades_economicas","meio_fio","pavimentacao","caminhavel"
"15837906",2,"3.61",1,0,0,1,1,NULL
"15187593",2,"0.39",1,3,0,1,1,NULL
"15187835",2,"2.55",1,2,0,1,1,NULL
"15193792",2,"4.65",1,2,0,1,1,NULL
"15200042",2,"4.65",1,2,0,1,1,NULL
"15306362",2,"0",1,2,0,0,0,NULL
"15350069",2,"6.96",1,1,2,1,1,NULL
"15350122",2,"0",1,2,0,0,0,NULL
"15362573",2,"6.96",1,2,3,1,1,NULL
"15368827",2,"0",1,1,3,0,0,NULL
"15375079",2,"0",1,1,2,0,0,NULL
"15375127",2,"0",1,2,0,0,0,NULL
"15387578",2,"4.07",1,1,3,1,1,NULL
"16549734",2,"6",0,1,19,1,1,NULL
"16618585",2,"6.2625",0,6,4,1,1,NULL
"14693980",2,"12.845",0,1,7,1,1,NULL
"16949872",2,"3.33",0,2,46,1,1,NULL
"16774771",2,"4.315",0,4,15,1,1,1
"14894181",2,"9.88",0,1,7,1,1,NULL
"16949928",2,"2.64",0,2,4,1,1,NULL
"14169042",2,"9.716666666666667",0,3,0,1,1,NULL
"14250124",2,"9.88",0,1,10,1,1,NULL
"14469148",2,"15.295",0,1,0,1,1,NULL
"14975242",2,"6.336666666666667",0,2,7,1,1,NULL
"16881129",2,"6.12",0,2,28,1,1,NULL
"16399789",2,"1.3466666666666667",0,6,0,1,1,NULL
"14294067",2,"3.39",0,2,0,1,1,NULL
"16674959",2,"2.49",0,3,8,1,1,1
"16887359",2,"0.54",0,1,18,1,1,NULL
"14225163",2,"9.53",0,1,5,1,1,NULL
"14200156",2,"9.53",0,2,3,1,1,NULL
"16787476",2,"2.34",0,2,61,1,1,NULL
"16374720",2,"5.13",0,3,0,1,1,NULL
"16187248",2,"9.1",0,1,17,1,1,NULL
"15525328",2,"4.49",0,1,0,1,1,NULL
"16874940",2,"2.4575",0,3,1,1,1,NULL
"14875406",2,"13.7",0,1,3,1,1,NULL
"16225504",2,"3.61",0,0,0,1,1,NULL
"15880979",2,"0.21",0,1,22,1,1,NULL
"16643609",2,"7.11",0,3,12,1,1,NULL
"14556451",2,"11.6",0,1,10,1,1,NULL
"14325173",2,"9.88",0,1,2,1,1,NULL
"16837352",2,"5.9625",0,3,19,1,1,NULL
"16062156",2,"9.4225",0,3,2,1,1,NULL
"14325169",2,"9.88",0,1,4,1,1,NULL
"15056362",2,"5.76",0,1,13,1,1,NULL
"16281127",2,"3.0825",0,0,7,1,1,NULL
"15900289",2,"4.3625",0,1,0,1,1,NULL
"14181372",2,"14.41",0,1,23,1,1,NULL
"16431016",2,"3.94",0,2,3,1,1,NULL
"15556646",2,"4.95",0,1,1,1,1,NULL
"16431064",2,"1.14",0,11,1,1,1,NULL
"16456161",2,"2.6375",0,2,32,1,1,NULL
"16474776",2,"5.615",0,2,1,1,1,NULL
"16474782",2,"4.84",0,2,3,1,1,NULL
"14481481",2,"11.383333333333333",0,2,3,1,1,NULL
"15194256",2,"5.97",0,2,0,1,1,NULL
"16606094",2,"0.53",0,3,4,1,1,1
"14900186",2,"21.24",0,1,4,1,1,NULL
"17037385",2,"2.1214285714285714",0,2,2,1,1,NULL
"15488028",2,"2.25",0,0,0,1,1,NULL
"14269009",2,"3.283333333333333",0,1,73,1,1,NULL
"14393993",2,"7.14",0,3,0,1,1,NULL
"15912222",2,"4.7175",0,2,4,1,1,NULL
"14300252",2,"6.076666666666667",0,1,1,1,1,NULL
"15018856",2,"5.76",0,1,13,1,1,NULL
"16931144",2,"3.225",0,4,4,1,1,1
"16518510",2,"6.87",0,2,0,1,1,NULL
"14319069",2,"6.036666666666667",0,0,0,1,1,NULL
"15881049",2,"2.86",0,2,12,1,1,NULL
"15725472",2,"3.61",0,0,0,1,1,NULL
"16005903",2,"6.8428571428571425",0,6,3,1,1,NULL
"16287299",2,"2.56",0,4,0,1,1,NULL
"16568543",2,"8.03",0,1,2,1,1,NULL
"16749863",2,"5.785",0,3,5,1,1,NULL
"16537369",2,"4.48",0,3,0,1,1,NULL
"16149820",2,"3.95",0,1,6,1,1,NULL
"16480996",2,"7.47",0,2,0,1,1,NULL
"16987385",2,"2.6475",0,3,0,1,1,NULL
"16181002",2,"6.75",0,1,19,1,1,NULL
"15731669",2,"9.673333333333334",0,1,0,1,1,NULL
"15512822",2,"7.99",0,2,1,1,1,NULL
"16862382",2,"5.13",0,4,3,1,1,NULL
"14306576",2,"6.036666666666667",0,1,0,1,1,NULL
"16931171",2,"2.64",0,2,26,1,1,NULL
"16037191",2,"12.835",0,3,1,1,1,NULL
"16631143",2,"6.59",0,2,13,1,1,NULL
"16212278",2,"4.302",0,2,0,1,1,NULL
"17081202",2,"1.985",0,3,3,1,1,NULL
"16431163",2,"2.6375",0,4,18,1,1,1
"16956165",2,"3.66",0,1,15,1,1,NULL
"16968714",2,"0.6",0,1,8,1,1,NULL
"16462295",2,"5.74",0,1,3,1,1,NULL
"16768621",2,"5.785",0,3,0,1,1,NULL
"15418887",2,"16.002",0,2,11,1,1,NULL
"16612334",2,"6.2625",0,7,4,1,1,NULL
"16868578",2,"4.634",0,2,12,1,1,NULL
"14275251",2,"3.283333333333333",0,1,0,1,1,NULL
"14494017",2,"10.61",0,2,7,1,1,NULL
"16499781",2,"5.615",0,1,1,1,1,NULL
"16968684",2,"0.45",0,2,9,1,1,NULL
"16924811",2,"2.454",0,6,0,1,1,NULL
"16587433",2,"3.79",0,1,27,1,1,NULL
"15325337",2,"6.386666666666667",0,0,6,1,1,NULL
"14294009",2,"5.9525",0,2,0,1,1,NULL
"16899977",2,"0.38",0,2,111,1,1,NULL
"14281462",2,"0.89",0,1,12,1,1,NULL
"16424850",2,"3.4233333333333333",0,0,0,1,1,NULL
"16562362",2,"0.97",0,4,19,1,1,1
"16037190",2,"12.835",0,3,1,1,1,NULL
"15369220",2,"12.88",0,1,4,1,1,NULL
"14306416",2,"9.88",0,1,4,1,1,NULL
"15244071",2,"11.48",0,1,10,1,1,NULL
"16287267",2,"3.08",0,5,0,1,1,NULL
"16481038",2,"5.74",0,1,2,1,1,NULL
"14550299",2,"28.61",0,1,1,1,1,NULL
"16580986",2,"6.62",0,2,15,1,1,NULL
"16187215",2,"6.6925",0,1,0,1,1,NULL
"14319076",2,"6.036666666666667",0,2,0,1,1,NULL
"16681039",2,"7.0725",0,4,14,1,1,NULL
"14287753",2,"5.455",0,1,1,1,1,NULL
"16249683",2,"2.9",0,1,0,1,1,NULL
"15087682",2,"9.17",0,1,3,1,1,NULL
"16087358",2,"1.58",0,2,0,1,1,NULL
"15880974",2,"0.21",0,2,10,1,1,NULL
"14362834",2,"6.5975",0,1,0,1,1,NULL
"14250123",2,"9.88",0,1,10,1,1,NULL
"17118687",2,"1.92",0,4,1,1,1,NULL
"16687261",2,"7.99",0,1,30,1,1,NULL
"15306350",2,"0",1,2,0,0,0,NULL
"15906670",2,"3.61",1,0,0,1,1,NULL
"15187539",2,"4.65",1,0,0,1,1,NULL
"15750480",2,"3.61",1,0,0,1,1,NULL
"15894165",2,"3.61",1,0,0,1,1,NULL
"15218792",2,"4.65",1,0,0,1,1,NULL
"15887915",2,"3.61",1,0,0,1,1,NULL
"15256596",2,"0",1,0,2,0,0,NULL
"15825402",2,"3.61",1,0,0,1,1,NULL
"15894167",2,"3.61",1,0,0,1,1,NULL
"15869161",2,"3.61",1,0,0,1,1,NULL
"16768542",2,"3.37",1,0,2,1,1,NULL
"16000437",2,"0",1,0,0,1,1,NULL
"14925523",2,"5.05",0,0,0,1,1,NULL
"16306121",2,"2.9766666666666666",0,0,0,1,1,NULL
"15281667",2,"2.63",0,0,1,1,1,NULL
"15569233",2,"4.18",0,0,0,1,1,NULL
"15837976",2,"3.61",0,0,0,1,1,NULL
"14850185",2,"3.893333333333333",0,0,8,1,1,NULL
"15662905",2,"7.88",0,0,0,1,1,NULL
"14356542",2,"6.535",0,0,0,1,1,NULL
"15725495",2,"8.22",0,0,0,1,1,NULL
"15043920",2,"9.17",0,0,0,1,1,NULL
"15506556",2,"5.23",0,0,2,1,1,NULL
"15119144",2,"13.04",0,0,1,1,1,NULL
"14550216",2,"9.676666666666666",0,0,2,1,1,NULL
"15469060",2,"14.25",0,0,3,1,1,NULL
"15044112",2,"10.08",0,0,2,1,1,NULL
"14237617",2,"9.88",0,0,5,1,1,NULL
"15313052",2,"1.2833333333333334",0,0,0,1,1,NULL
"15250239",2,"3.748",0,0,2,1,1,NULL
"14925336",2,"8.45",0,0,1,1,1,NULL
"15394285",2,"3.345",0,0,0,1,1,NULL
"15725473",2,"3.61",0,0,0,1,1,NULL
"14706581",2,"9.2675",0,0,142,1,1,NULL
"14975118",2,"8.935",0,0,7,1,1,NULL
"14431590",2,"11.513333333333334",0,0,1,1,1,NULL
"15125394",2,"13.04",0,0,1,1,1,NULL
"15481756",2,"10.66",0,0,1,1,1,NULL
"15169249",2,"7.286666666666667",0,0,0,1,1,NULL
"16212992",2,"3.61",0,0,0,1,1,NULL
"15344257",2,"5.3",0,0,0,1,1,NULL
"16030942",2,"12.835",0,0,1,1,1,NULL
"15287917",2,"2.63",0,0,1,1,1,NULL
"15162915",2,"15.72",0,0,2,1,1,NULL
"15269042",2,"14.82",0,0,9,1,1,NULL
"14981647",2,"11.03",0,0,3,1,1,NULL
"15062852",2,"10.39",0,0,1,1,1,NULL
"14881424",2,"2.05",0,0,17,1,1,NULL
"14325158",2,"9.88",0,0,1,1,1,NULL
"15288045",2,"2.8866666666666667",0,0,0,1,1,NULL
"15787954",2,"6.72",0,0,0,1,1,NULL
"14825437",2,"8.28",0,0,28,1,1,NULL
"15456771",2,"2.25",0,0,0,1,1,NULL
"16124830",2,"3.6566666666666667",0,0,30,1,1,NULL
"16381129",2,"0.68",0,0,0,1,1,NULL
"15300523",2,"5.296666666666667",0,0,0,1,1,NULL
"15662954",2,"8.796666666666667",0,0,2,1,1,NULL
"15987994",2,"3.61",0,0,0,1,1,NULL
"14425337",2,"6.44",0,0,1,1,1,NULL
"15250217",2,"10.62",0,0,1,1,1,NULL
"15225530",2,"2.3",0,0,0,1,1,NULL
"15756633",2,"3.61",0,0,0,1,1,NULL
"15837789",2,"1.43",0,0,0,1,1,NULL
"14893839",2,"8.4",0,0,1,1,1,NULL
"15244118",2,"10.74",0,0,5,1,1,NULL
"15331794",2,"2.865",0,0,0,1,1,NULL
"14925192",2,"15.95",0,0,5,1,1,NULL
"14850377",2,"12.08",0,0,2,1,1,NULL
"14956554",2,"1.44",0,0,3,1,1,NULL
"15762972",2,"3.61",0,0,0,1,1,NULL
"15794040",2,"6.2625",0,0,0,1,1,NULL
"15075384",2,"13.04",0,0,1,1,1,NULL
"15244157",2,"14.64",0,0,7,1,1,NULL
"14975304",2,"1.81",0,0,3,1,1,NULL
"15444078",2,"6.49",0,0,0,1,1,NULL
"14675315",2,"6.408",0,0,10,1,1,NULL
"15250118",2,"0.39",0,0,12,1,1,NULL
"16212273",2,"8.11",0,0,2,1,1,NULL
"15125392",2,"7.86",0,0,0,1,1,NULL
"14837703",2,"2.643333333333333",0,0,8,1,1,NULL
"15550298",2,"5.12",0,0,7,1,1,NULL
"15325257",2,"2.42",0,0,11,1,1,NULL
"16075447",2,"3.61",0,0,0,1,1,NULL
"14306506",2,"6.076666666666667",0,0,2,1,1,NULL
"15019183",2,"6.72",0,0,3,1,1,NULL
"15450519",2,"2.25",0,0,0,1,1,NULL
"16219246",2,"3.61",0,0,0,1,1,NULL
"15200585",2,"1.505",0,0,0,1,1,NULL
"15275292",2,"9.945",0,0,9,1,1,NULL
"15581548",2,"5.12",0,0,1,1,1,NULL
"15681728",2,"5.956666666666667",0,0,1,1,1,NULL
"15874772",2,"11.7",0,0,7,1,1,NULL
"15675469",2,"3.61",0,0,0,1,1,NULL
"15131826",2,"3.07",0,0,0,1,1,NULL
"16418639",2,"0.68",0,0,2,1,1,NULL
"15980923",2,"6.597142857142857",0,0,0,1,1,NULL
"15119140",2,"7.86",0,0,0,1,1,NULL
"16231031",2,"3.83",0,0,0,1,1,NULL
"14644027",2,"2.33",0,0,11,1,1,NULL
"15169323",2,"1.09",0,0,0,1,1,NULL
"15063019",2,"5.05",0,0,0,1,1,NULL
"14944054",2,"2.602",0,0,2,1,1,NULL
"16881090",2,"7.46",0,0,3,1,1,NULL
"15162795",2,"12.02",0,0,6,1,1,NULL
"14900154",2,"4.723333333333334",0,0,3,1,1,NULL
"14418927",2,"1.69",0,0,5,1,1,NULL
"14381443",2,"9.88",0,0,4,1,1,NULL
"15056602",2,"10.39",0,0,1,1,1,NULL
"14687798",2,"8.81",0,0,4,1,1,NULL
"14937983",2,"11.05",0,0,1,1,1,NULL
"16362377",2,"0.68",0,0,0,1,1,NULL
"14662857",2,"0",0,0,1,1,1,NULL
"15288012",2,"5.56",0,0,0,1,1,NULL
"14531586",2,"0",0,0,0,1,1,NULL
"15081816",2,"5.05",0,0,0,1,1,NULL
"15581728",2,"3.58",0,0,0,1,1,NULL
"14937869",2,"0",0,0,0,1,1,NULL
"15787789",2,"6.2625",0,0,0,1,1,NULL
"15306792",2,"5.27",0,0,0,1,1,NULL
"14875324",2,"23.74",0,0,2,1,1,NULL
"16362378",2,"0.68",0,0,0,1,1,NULL
"15419187",2,"14.333333333333334",0,0,4,1,1,NULL
"15306771",2,"5.31",0,0,0,1,1,NULL
"15537878",2,"9.45",0,0,0,1,1,NULL
"15375070",2,"6.96",0,0,3,1,1,NULL
"15544010",2,"8.86",0,0,0,1,1,NULL
"15519050",2,"5.175",0,0,1,1,1,NULL
"14450342",2,"11.513333333333334",0,0,3,1,1,NULL
"16456078",2,"2.763333333333333",1,4,0,1,1,1
"15750386",2,"3.61",0,2,0,1,1,NULL
"15544254",2,"5.17",0,1,0,1,1,NULL
"15325107",2,"0",1,1,0,0,0,NULL
"15656616",2,"4.835",0,2,0,1,1,NULL
"15556588",2,"5.275",0,1,0,1,1,NULL
"14319025",2,"5.58",0,1,0,1,1,NULL
"16000432",2,"3.61",0,2,0,1,1,NULL
"16549849",2,"4.574285714285715",0,8,0,1,1,NULL
"15094043",2,"9.302",0,1,0,1,1,NULL
"14800297",2,"8.726",0,3,0,1,1,NULL
"16337323",2,"1.66",0,1,0,1,1,NULL
"14600393",2,"9.363333333333333",0,1,0,1,1,NULL
"14931704",2,"8.56",0,2,0,1,1,NULL
"15313048",2,"2.865",0,1,0,1,1,NULL
"15094268",2,"5.05",0,1,0,1,1,NULL
"15056303",2,"8.376666666666667",1,2,0,1,1,NULL
"15375422",2,"12.13",0,1,0,1,1,NULL
"15550508",2,"5.17",0,2,0,1,1,NULL
"15987931",2,"3.61",1,1,0,1,1,NULL
"15606548",2,"5.12",0,2,0,1,1,NULL
"16081755",2,"3.61",0,1,0,1,1,NULL
"14594182",2,"7.84",0,2,0,1,1,NULL
"14906374",2,"6.705",0,1,0,1,1,NULL
"15093819",2,"0",1,1,0,0,0,NULL
"15375302",2,"6.816",0,2,0,1,1,NULL
"15275548",2,"1.695",0,4,0,1,1,NULL
"16781052",2,"5.33",1,4,0,1,1,NULL
"15569093",2,"5.275",0,2,0,1,1,NULL
"15288027",2,"5.165",0,2,0,1,1,NULL
"15406536",2,"9.7",0,1,0,1,1,NULL
"15263060",2,"1.09",0,2,0,1,1,NULL
"15106311",2,"0",1,1,0,0,0,NULL
"15188075",2,"1.09",0,2,0,1,1,NULL
"15125476",2,"11.63",0,3,0,1,1,NULL
"15287592",2,"0",1,1,0,0,0,NULL
"16062263",2,"0.32",0,1,0,1,1,NULL
"16287333",2,"1.43",0,2,0,1,1,NULL
"14475361",2,"8.28",0,2,0,1,1,NULL
"15525509",2,"5.355",0,1,0,1,1,NULL
