id,previsao_caminhabilidade
15187593,1
15187835,1
15193792,0
15200042,0
15306362,1
15350069,0
15350122,1
15362573,1
15368827,0
15375079,0
15375127,1
15387578,0
14693980,0
14894181,0
14169042,0
14250124,0
14469148,0
14975242,1
14294067,0
14225163,0
14200156,0
15525328,0
14875406,0
16225504,0
16549734,0
16618585,1
16949872,1
14556451,0
14325173,0
14325169,0
15056362,0
15900289,0
14181372,0
15556646,0
14481481,0
15194256,0
14900186,0
15488028,0
14269009,1
14393993,1
14300252,0
15018856,0
15880979,1
16643609,1
16837352,1
16062156,1
14319069,0
15725472,0
15731669,0
15512822,0
14306576,0
15418887,0
14275251,0
15881049,1
16005903,1
16287299,1
14494017,0
15325337,0
14294009,0
14281462,1
15369220,0
14306416,0
15244071,0
14550299,0
14319076,0
14287753,0
15087682,0
14362834,0
14250123,0
16499781,0
16968684,1
16924811,1
15306350,1
15187539,0
15218792,0
15256596,0
14925523,0
15281667,0
15569233,0
15837976,0
16768542,0
16306121,0
14850185,0
15662905,0
14356542,0
15725495,0
15043920,0
15506556,0
15119144,0
14550216,0
15469060,0
15044112,0
14237617,0
15313052,0
15250239,0
14925336,0
15394285,0
15725473,0
14706581,1
14975118,0
14431590,0
15125394,0
15481756,0
15169249,0
16212992,0
15344257,0
15287917,0
15162915,0
15269042,0
14981647,0
15062852,0
14881424,1
14325158,0
15288045,0
15787954,0
14825437,0
15456771,0
15300523,0
15662954,0
15987994,0
14425337,0
15250217,0
15225530,0
15756633,0
15837789,0
14893839,0
15244118,0
16030942,0
16124830,1
16381129,0
15331794,0
14925192,0
14850377,0
14956554,0
15762972,0
15794040,0
15075384,0
15244157,0
14975304,0
15444078,0
14675315,0
15250118,1
15125392,0
14837703,0
15550298,0
15325257,0
16075447,0
16212273,0
14306506,0
15019183,0
15450519,0
16219246,0
15200585,0
15275292,0
15581548,0
15681728,0
15675469,0
15131826,0
15119140,0
14644027,0
15169323,0
15063019,0
14944054,0
15162795,0
15874772,0
16418639,0
15980923,0
16231031,0
16881090,0
14900154,0
14418927,0
14381443,0
15056602,0
14687798,0
14937983,0
14662857,1
15288012,0
14531586,1
15081816,0
15581728,0
14937869,1
15787789,0
15306792,0
14875324,0
15419187,0
15306771,0
15537878,0
15375070,0
15544010,0
15519050,0
14450342,0
15750386,0
15544254,0
15325107,0
16362377,0
16362378,0
15656616,0
15556588,0
14319025,0
16000432,0
15094043,0
14800297,1
14600393,0
14931704,0
15313048,0
15094268,0
15056303,0
15375422,0
15550508,0
15606548,0
16081755,0
14594182,0
14906374,0
15093819,0
15375302,0
15275548,1
15569093,0
15288027,0
15406536,0
15263060,1
15106311,0
15188075,1
15125476,0
15287592,0
16549849,1
16337323,0
14475361,0
15525509,0
15350521,0
14475400,0
15800458,0
15538032,0
14987564,0
15288018,0
15306674,0
15300123,1
15544280,1
15375279,0
15368877,1
15594242,0
15125429,0
15056307,0
15306781,0
15612799,0
15306373,1
15562841,0
15538004,0
14956308,1
15275521,0
15275534,0
15156305,1
15531583,0
15244269,0
15362773,1
15138017,0
15312581,0
15075052,0
14581641,0
14387842,0
15944217,0
15387601,0
15381673,0
15125161,0
14394090,0
15994218,0
16175472,0
14537875,0
15912790,1
14387859,0
15318862,1
14900351,0
15019052,0
15193845,1
14912915,0
15100120,0
14938009,0
15062563,1
14931762,0
14737921,0
15231350,0
15106546,0
15119224,0
15331375,0
16199826,1
15269035,0
15206827,1
15275549,1
15300096,0
15281794,0
15112990,0
14918847,0
14950463,0
14981762,0
15075202,0
14281554,1
14269062,1
14369078,0
14350334,0
16131710,1
15881716,0
14644058,1
16150462,1
15219086,1
15769044,0
15418844,0
15262727,0
15219317,1
14387741,1
16887316,1
14350330,0
15237546,0
15188003,0
15300556,1
14981625,1
14800434,0
15156832,0
14881632,0
15187836,0
14369107,0
15737883,0
15187833,1
15318838,1
15644114,0
15656775,0
16225490,0
14256582,0
15650456,0
15194327,1
14994027,0
14319060,0
15181295,1
14594136,0
14525371,0
14931758,0
16881066,1
14287814,0
15531574,0
15481764,0
15531581,0
14181421,1
16025473,0
15944219,0
14550383,0
14619141,0
15488022,0
15662975,0
15362615,0
15937962,0
15356369,1
15856712,0
14531624,0
14919100,0
15206812,1
15287583,0
16512402,0
16237326,1
15268975,0
15525323,0
15062569,0
15231768,0
15150038,1
15294202,0
15100161,0
15550343,0
14375242,0
15131411,0
15163083,0
15175515,0
15175587,1
15656729,0
15725448,0
15100083,1
16037940,0
15687875,0
15712946,0
15794044,0
15837960,0
15975469,0
15162928,0
15744200,0
15850462,0
16231041,1
16462346,0
15068805,1
14913019,0
14412854,0
14306530,0
14400335,0
16081731,0
15975428,0
14587815,0
15850286,1
15156339,1
14631649,0
14906705,0
15138020,0
15019300,0
14981580,0
15231585,1
15150426,0
15406773,1
16225493,0
14637894,0
14681702,0
16268534,0
16887314,1
15075486,0
15513003,0
15362919,0
14769175,0
14750420,0
14837944,0
14906730,0
15231732,0
15225337,1
15037976,0
15156673,0
15362781,0
15456768,1
15056305,1
15275539,0
15244264,1
15887964,0
14831662,0
14681516,0
15950464,0
14843918,1
16231080,1
16399839,1
16549764,0
14956354,0
15087578,1
15269307,1
15381533,0
15081302,0
15313015,0
15675471,0
14687911,0
14837981,0
15356363,0
15162895,0
15288043,0
15181304,1
15569236,0
15537883,0
15781690,0
15225333,1
14456642,0
14744147,0
14337852,0
14781682,0
16119204,0
15443996,0
15281808,1
15356375,0
16868566,1
16230926,0
14362739,0
14681554,0
14918877,0
14587883,0
15281807,1
15244312,1
15406344,0
14906381,0
14212613,0
15612953,0
15387629,0
15681675,0
14519159,0
15281364,1
15238084,1
14906364,0
15306353,0
15150520,0
14994237,0
15281368,1
15081819,0
15188094,1
15469239,0
15400530,0
15062559,1
15481773,0
15981052,0
15081454,0
15581742,0
15106687,0
15056443,0
15062616,0
14981394,0
15119237,0
14587722,1
15300161,0
14950171,0
14900148,0
15456650,0
14844159,0
14893966,0
15387987,0
14856511,0
17068712,0
16068470,0
14500137,0
15225423,0
14543906,0
15112873,0
14287778,0
15056298,1
14787928,0
15275235,0
15306537,1
15000214,0
14818866,0
15287947,0
14743964,0
15319225,0
14981687,0
14769107,0
15200180,0
14312669,0
15175420,0
15893464,0
16649868,0
14325261,0
15150225,0
15106469,0
14600279,0
15500237,0
14825220,0
15425153,0
14537657,0
15056347,0
15744252,0
14987748,0
14662713,0
15487956,0
14612780,0
15350465,0
14744086,0
15350266,1
14644063,1
15031578,0
14350139,0
16012185,0
16074658,1
14937967,0
15394144,0
14950450,1
15081706,0
14331441,0
15069189,0
14731717,0
15256697,0
14381487,0
15237795,1
15100184,0
14925194,0
14818863,1
15387877,0
14900279,0
15387816,1
14806629,0
15269076,0
14812907,0
15287946,0
16156003,0
15887218,0
14800283,1
15594167,0
14862676,0
15406575,1
14625157,1
15362757,1
14850172,1
14831684,1
15381663,0
15062647,0
14831558,0
15294220,0
15112938,0
15094236,0
14912820,0
15681762,0
14781510,0
15331548,1
15187596,1
16174700,1
16656218,0
14725466,0
15487904,0
15006665,0
14293950,0
15012790,0
14981468,0
14312668,0
15181595,0
14287796,1
15081472,0
15600418,0
14800282,1
15294204,0
14643987,1
15237854,0
14837957,0
14956732,0
14293997,0
15000501,1
15688003,0
16493533,0
14431438,1
15200348,0
14900170,1
15519060,0
14962945,0
15456559,0
15056364,0
14887906,0
15362948,0
14700408,0
15250186,0
14656461,0
15313004,0
14981459,0
14875452,0
15681726,0
14919196,0
14837662,1
15375449,1
16649863,0
16330990,1
16774892,0
14644087,0
15206746,0
14462693,1
15212684,0
14687859,0
15200200,0
14825104,0
15437747,0
14706587,1
15337817,0
14750246,0
15475437,0
14856602,0
15344019,0
14900423,0
15187916,0
14975140,0
15481714,0
15156436,0
16462420,1
14256511,1
15219036,0
14293987,0
14993989,0
15175147,0
15300132,1
14925218,0
14731464,0
15350318,0
14819021,0
14956332,0
15669207,0
14662817,1
15175411,0
15031584,0
14637944,0
15169158,0
16018445,1
14875217,0
15512907,0
14556568,0
15125175,0
14950173,0
14862717,0
14962801,1
15450243,0
14862755,0
15581663,0
14869082,0
15619199,0
14869067,0
14437721,0
15037927,0
15275246,0
15012977,0
15212939,0
16012283,0
16899939,1
14606634,0
15056720,0
14512639,1
15350177,0
14625424,0
15475453,0
14844096,0
14412842,0
15112641,0
14912796,1
15700498,0
15006477,0
14875239,0
15444058,0
14900088,0
14981502,1
15400247,0
14875242,0
15506641,0
14744166,0
16493675,1
15206491,0
14787982,0
15406647,0
14931700,0
14844011,0
15294081,0
14750336,0
15287784,0
14493966,0
15306389,0
14856509,0
15019055,0
15013001,1
14368971,0
15219257,0
14725371,0
15331752,0
14825225,0
15437935,0
16318506,1
14537702,0
15137712,0
14856548,1
15431500,0
14850338,0
15469213,0
14800279,1
15318940,0
14837651,1
15262788,0
14556620,0
15343965,0
14800281,1
15450436,0
14669019,1
15369198,0
14581529,0
15268922,0
14675334,1
15268998,0
14643944,0
15256536,0
16005922,1
14293930,1
15094187,0
14525359,0
15181432,0
14868897,0
15262618,1
14756700,0
15500420,0
14787929,0
15494256,0
14731624,0
15294036,1
14819102,1
15425326,0
14781495,0
15406555,0
14594035,1
15250273,0
14919171,0
15462984,0
14556399,0
15262967,0
14537917,0
15250275,0
15093971,0
14606551,0
15225317,0
14531614,0
15281424,0
14818842,0
15344255,0
14750382,0
15268871,1
14856652,0
15362876,1
15000227,0
15156592,0
15063003,0
15169243,0
15412621,0
16180993,0
16212171,0
16912391,1
15181517,1
14762749,0
15225288,0
15087835,1
14787883,0
15481717,0
14575252,1
15343947,0
15043951,0
14669020,1
15356571,0
14912720,0
15456703,0
14518946,0
15143998,0
14500273,0
15125145,0
14569052,0
15169004,0
14712943,0
15356626,1
16537286,0
16193515,0
16618606,1
16643567,0
16518536,0
14881554,0
14150156,1
15087639,0
14493969,0
15137628,0
14875084,0
15562911,0
14893968,0
14912835,0
14750335,0
15338002,0
14900151,0
14500360,0
15175275,0
14937663,0
15312892,0
16512426,1
15831005,1
16187258,0
16812374,1
15219249,0
14906439,0
14812880,0
15000255,0
15056710,0
14581533,1
15175509,1
14300147,0
15087770,0
14575376,1
15206375,0
14762952,0
15462899,0
14531666,0
15131459,0
14525224,0
15050284,0
15519062,1
14818822,1
14775291,1
15356625,1
14881491,0
15419182,0
14862879,0
15300457,0
14969204,1
14881488,0
14294030,0
15018950,0
14912921,0
14287752,0
15062638,0
14418990,0
15094206,0
14512761,0
15087983,0
14587790,1
15899718,1
16824873,1
16631192,1
15162702,0
15294125,0
14225180,0
15068798,0
14456492,1
15169208,1
14968858,0
15350288,1
14694189,0
15275290,1
14456444,1
15156452,0
14462634,0
15069203,0
14881694,1
14943971,0
15387887,0
14950465,0
15625405,0
16156004,0
16949840,0
14293895,0
15150376,0
14281475,1
14906656,0
15356505,1
14931487,0
14762898,0
15306606,0
14787796,0
15250321,0
14343965,1
15244105,0
14587749,0
15344042,1
14725467,0
15181662,0
14743993,0
15144126,0
14862757,0
15419213,0
16137343,0
16781204,1
16668505,0
14619024,1
15187763,0
15200311,0
14568898,0
15187864,0
15194061,0
14987708,0
14994252,1
15606651,0
14687827,1
15225144,0
14643922,0
15119166,0
14300145,0
15012976,0
14868991,0
15375361,0
14225284,0
15100384,0
15500455,0
16224773,1
14575203,1
15262721,0
14825073,1
15294032,1
15037716,0
14668995,0
15250300,1
14368975,1
15162681,0
14481464,0
15243862,1
14631465,0
15462986,0
14856500,0
15231455,0
14881582,0
15425366,0
14869212,0
15356471,0
14994100,1
15362895,0
14762743,0
15300205,0
15112899,0
14619062,0
15181539,0
15087721,0
14943947,0
14969250,0
15606546,0
14537673,0
15394281,0
15019265,0
16212269,1
16943667,0
16224778,0
16849870,1
16674816,1
15868480,1
14750423,0
14281473,1
14369038,0
15687959,0
15175295,0
14225316,1
14212808,0
14162656,1
14225148,0
14250197,1
14262672,0
15000068,1
15018806,1
15000067,1
15000066,1
15356320,0
15356319,0
15093800,0
15143839,1
15168797,0
15237547,0
15119109,0
14269001,0
15694046,0
15862235,1
16243451,1
16806105,0
16724915,1
14550154,0
14331444,0
14462730,0
14669084,0
14212676,0
14262811,0
14031536,0
14325323,0
14894050,0
15762935,0
16931065,1
16574857,1
16499794,0
14350196,0
14256521,0
15069051,0
14175157,1
14881624,0
14475348,0
14181355,0
15325161,0
16712403,1
16781129,1
16274735,1
16562248,1
16868591,0
16849847,0
16912451,1
16487401,1
15069270,0
14519037,0
16219239,0
14787806,0
14469107,0
14837755,0
14256548,0
16612452,0
16524888,1
16693614,0
16399886,0
16468645,1
16556128,1
15912152,1
16856202,0
14225179,0
14150160,1
14231544,0
14225313,0
14287820,1
14300318,0
14525285,0
14381597,1
16831203,0
16893608,1
16424699,1
16774925,1
16562438,1
16924955,1
15837203,0
16937420,1
16618593,1
14275308,0
14544166,0
14306412,0
14344041,0
14375188,0
14325167,0
14387730,1
14375285,0
16843573,1
16049777,0
15999738,1
16843594,1
17024867,0
16868626,1
16843607,0
16893684,0
16862440,1
14362823,0
14262709,1
14181425,1
14237798,0
14119040,1
14281568,0
14350351,0
14250274,1
16806214,1
16974847,0
16524843,1
16662458,1
16824818,1
16518648,0
16531010,0
16606191,1
16262280,1
14231441,1
14525291,0
14300264,0
15012787,0
14337760,0
14256581,0
14325326,0
16593521,0
16999897,1
17031169,1
16693671,1
16580994,0
16443656,1
16531016,0
15956048,1
16624826,0
16687436,1
14256558,0
15418998,0
15487749,0
14069041,0
15131725,0
14431596,0
16599842,1
16643704,1
16818718,1
16543604,1
16918556,1
16043444,0
16749893,1
16637433,1
16487391,0
14081541,0
15662871,0
15381770,0
15362968,0
14344088,0
14156362,0
15350088,0
15412591,0
16681063,0
15437595,0
15262844,0
15281592,0
15219091,0
15262843,0
15412628,0
15225343,0
16781044,0
16799797,0
15393856,0
15200093,0
15406361,0
16787296,0
15131298,0
15056320,0
15287846,0
14981764,0
15031608,0
15369260,0
14925304,0
14631672,0
14794019,0
15231822,0
15062799,0
15381789,0
15688009,0
14919128,0
14512783,0
16274875,0
14487822,0
15331509,0
14956650,0
16393631,0
14375187,0
14412744,0
15519223,0
15162798,0
14531537,0
14669050,0
14531539,0
15869232,0
14631602,1
15769136,0
14344010,0
15375197,0
15287685,0
15062800,0
14481570,0
14531541,0
14475320,0
14594042,1
15188069,0
15519122,0
16150511,0
15231484,0
15412989,0
15256539,0
15656732,0
14531538,0
15037861,0
14512785,0
16193592,0
16449921,1
15531741,0
15381447,0
16081699,0
15525472,0
14781511,0
14956647,0
15625365,0
14469093,0
14525289,0
14912874,0
15368944,0
15406787,0
15162876,0
14906624,0
15269230,0
14681560,0
14906623,0
14381536,0
15356443,0
14387789,0
14887835,0
14337759,0
15056551,0
15244051,0
15006569,0
14900373,0
15069052,0
14987813,0
15244300,0
14844125,0
15031610,0
15563008,0
15619111,0
14525286,0
14481572,0
16324867,0
14381538,0
14700297,0
15525473,0
15163090,0
16312365,0
16812370,0
16006747,0
14525290,0
15056552,0
15037968,0
14250284,0
14337758,0
14893903,0
15775395,0
14469061,0
15531590,0
15144049,0
14519035,0
15606725,0
15044111,0
15231485,0
15525319,0
14625395,0
15375196,0
15675467,0
15450330,0
14531540,0
16293571,0
14869109,0
15062802,0
14469069,0
15131744,0
15669215,0
14950396,0
15262625,1
15050300,0
15331508,0
15825288,0
16381130,0
14912866,1
15225557,0
15075341,0
15012820,0
15037860,0
14637718,0
15750467,0
14956648,0
15256791,0
15056549,0
14725291,1
14925305,0
14375287,0
16781226,1
15519250,0
15200563,0
14894202,0
15087845,0
14487765,0
14531536,0
14962934,0
15487870,0
15775392,0
14906391,0
15356776,0
15100571,0
15387699,0
15331535,1
15031609,0
15081592,0
14331508,0
15062801,0
15081370,0
15050298,0
14637896,0
15331437,0
14519039,0
14519041,0
15050299,0
15213060,0
15012821,0
14475319,0
14906667,0
15381479,0
14819222,0
14719167,0
15344294,0
15056548,0
15150301,0
14525288,0
14700412,0
14806559,0
14475321,0
14268944,1
15056731,0
15231483,0
15006722,0
14381539,0
15338047,0
14519036,0
15800290,0
15775389,0
14381537,0
15325524,0
16356124,0
16731075,0
15381448,0
14519040,0
14912876,0
16213006,0
14519038,0
16981183,1
15294313,0
15056550,0
14375286,0
14356543,0
15200565,0
16274874,0
14619144,0
15037610,0
14525287,0
15381778,0
16163014,0
15218981,0
15256489,0
15037859,0
15637988,0
14469070,0
16225512,0
15388041,0
14481571,0
14837941,0
15150522,0
14981561,0
16181089,0
15406468,0
14906625,0
14531542,0
15850479,0
16044193,0
15006570,0
14787811,0
14919127,0
15800294,0
15068809,0
15131309,0
15137554,1
15306331,0
15368847,0
14819079,0
15362622,0
15100056,1
15331370,0
15062565,1
15143836,0
15287587,1
15306368,0
14487864,1
14969260,0
15068824,1
15218798,0
15331363,0
15350076,0
15325109,0
15362619,1
15387596,0
15537803,0
16274797,1
16806051,0
16305961,0
15444275,1
15312607,0
15081318,1
15331365,0
15337571,1
15400103,0
14494141,0
